"season","name","last_name","team","Plays","Drives","EPA","EPA_p","Exp","WR","OL","nHC","nTM","lagEPA"
2019,"R.Fitzpatrick","Fitzpatrick","MIA",633,146,0.33236219454565,0.0766585788367535,14,20.6872476089267,10.509564293305,1,1,66.3284482117916
2019,"M.Ryan","Ryan","ATL",744,157,0.294389019116641,0.062122413980259,11,14.1602550478215,37.1706695005314,0,0,157.434806392223
2019,"J.Flacco","Flacco","DEN",319,87,-0.157722143345585,-0.0430151300033414,11,4.203825717322,28.6523910733262,1,1,36.6873203361572
2019,"M.Stafford","Stafford","DET",343,89,0.760419529626608,0.197310023722356,10,6.19511158342189,25.222954303932,0,0,24.3072314542419
2019,"A.Dalton","Dalton","CIN",624,146,0.0294847899710627,0.006898684832973,8,14.3815090329437,32.3030818278427,1,0,47.7411160288866
2019,"C.Keenum","Keenum","WAS",292,77,0.00833388544004894,0.00219763417425948,7,2.32316684378321,17.4790648246546,1,1,-14.6139451597892
2019,"R.Wilson","Wilson","SEA",684,182,0.476377582573128,0.126755438637879,7,13.0539851222104,26.2185972369819,0,0,105.984456778075
2019,"K.Cousins","Cousins","MIN",537,151,0.641675735215715,0.180433959064382,7,24.1166843783209,25.8867162592986,0,0,-17.040748596735
2019,"R.Tannehill","Tannehill","TEN",379,113,0.711941290014279,0.212267455861777,7,16.9259298618491,38.0556854410202,0,1,-64.7880523201084
2019,"T.Bridgewater","Bridgewater","NO",252,64,0.0913363525548267,0.0231965339821782,5,12.1689691817216,46.1314558979809,0,0,-18.715180415486
2019,"D.Carr","Carr","LV",589,149,0.573362544222879,0.145044175024124,5,13.9390010626993,26.6611052072264,0,0,1.76081520641491
2019,"J.Garoppolo","Garoppolo","SF",594,175,0.535428988364752,0.157744230578841,5,11.2839532412327,29.6480340063762,0,0,11.9078686419181
2019,"J.Winston","Winston","TB",771,190,0.35689317015491,0.0879503272755291,4,6.305738575983,46.0208289054198,1,0,77.2082040438987
2019,"C.Wentz","Wentz","PHI",751,176,0.329502757138914,0.0772203532043261,3,11.7264612114772,28.8736450584485,0,0,50.4017042947461
2019,"D.Prescott","Prescott","DAL",710,169,0.860708535773359,0.204872876824926,3,24.7804463336876,54.4284803400638,0,0,40.074586551577
2019,"J.Goff","Goff","LA",728,175,0.270002050834893,0.0649043391430031,3,28.9842720510096,33.1880977683316,0,0,122.259586647952
2019,"J.Brissett","Brissett","IND",565,142,0.301293504165908,0.0757233231709009,3,18.3640807651435,31.7499468650372,0,0,-4.41748320183251
2019,"D.Watson","Watson","HOU",656,154,0.74098152237478,0.173949930557494,2,33.8518597236982,22.6785334750266,0,0,95.5395078558417
2019,"M.Trubisky","Trubisky","CHI",633,152,-0.1467045698834,-0.0352276376339286,2,32.5243358129649,15.1558979808714,0,0,108.738653013317
2019,"P.Mahomes","Mahomes","KC",608,126,1.37142150321715,0.284209061521975,2,27.5461211477152,31.0861849096706,0,0,246.27216867527
2019,"K.Allen","Allen","CAR",589,143,-0.176475693834946,-0.0428455419667186,1,9.95642933049947,21.2403825717322,1,0,23.9607897632058
2019,"M.Rudolph","Rudolph","PIT",341,97,-0.0445888970751816,-0.0126836452090692,1,4.203825717322,40.0469713071201,0,1,0
2019,"L.Jackson","Jackson","BAL",628,142,1.39318899015419,0.315020440448877,1,13.6071200850159,30.3117959617428,0,0,-1.74120429232302
2019,"B.Mayfield","Mayfield","CLE",655,173,0.128706746583601,0.0339943010060502,1,38.7194473963868,37.9450584484591,1,0,30.8470181309053
2019,"J.Allen","Allen","BUF",640,162,0.122759738516446,0.0310735588119754,1,20.4659936238045,32.0818278427205,0,0,-2.04341144468858
2019,"S.Darnold","Darnold","NYJ",540,143,-0.0933773013858456,-0.0247276927743998,1,15.1558979808714,18.1428267800213,1,0,-16.4307092792435
2019,"K.Murray","Murray","ARI",719,167,0.135824412786158,0.031547533985102,0,18.0321997874601,29.9799149840595,1,1,0
2019,"D.Haskins","Haskins","WAS",265,83,-0.595404032607589,-0.186485036628037,0,2.32316684378321,17.4790648246546,1,1,0
2019,"G.Minshew II","Minshew","JAX",611,144,-0.038440088035877,-0.00905952974986299,0,5.42072263549416,33.5199787460149,0,1,0
2019,"D.Jones","Jones","NYG",581,133,-0.102573016857135,-0.0234805701239225,0,14.0496280552604,29.2055260361318,0,1,0
2020,"T.Brady","Brady","TB",701,166,0.921564076594902,0.218230580192231,20,14.9164480322906,40.1273461150353,0,1,62.5111773317333
2020,"D.Brees","Brees","NO",435,121,0.603772381037392,0.167945880702355,19,14.6013118062563,20.9040363269425,0,0,94.9133441664599
2020,"B.Roethlisberger","Roethlisberger","PIT",691,171,0.411713600275277,0.10188571005365,16,5.77749747729566,33.8246215943491,0,0,-10.2490268270994
2020,"P.Rivers","Rivers","IND",614,157,0.746878193307885,0.190976997311625,16,19.3283551967709,34.1397578203835,0,1,78.4933939528817
2020,"A.Smith","Smith","WAS",296,79,-0.405087753072142,-0.108114636799659,15,4.09677093844601,37.3961654894046,1,0,11.81654692894
2020,"A.Rodgers","Rodgers","GB",618,148,1.43593423195929,0.343880689854328,15,20.378809283552,29.2026236125126,0,0,83.24227384282
2020,"R.Fitzpatrick","Fitzpatrick","MIA",327,77,0.93587197607462,0.220373523418183,15,11.8701311806256,26.6815338042381,0,0,48.524880403665
2020,"M.Ryan","Ryan","ATL",732,171,0.571563810343148,0.133521054055571,12,27.3118062563068,37.2911200807265,0,0,46.2190760013127
2020,"M.Stafford","Stafford","DET",627,150,0.610346627730405,0.146015939648422,11,16.8072653884965,23.9503531786075,1,0,67.6773381367681
